Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
CpuBoundPi,OneUnitOfWork,1,1,10,102.10,101.00,104.00,0.74
CpuBoundPi,NoConcurrency,10,1,10,1026.50,1014.00,1069.00,15.99
CpuBoundPi,CompletionStageTest,10,-1,10,237.10,211.00,279.00,18.26
CpuBoundPi,StreamsTest,10,10,10,235.70,229.00,243.00,4.00
CpuBoundPi,CompletionStageWithExecutorServiceTest,10,10,10,237.10,227.00,256.00,7.95
CpuBoundPi,CompletionServiceTest,10,10,10,242.70,233.00,256.00,8.49
CpuBoundPi,SimpleStreamTest,10,1,10,1052.90,1028.00,1092.00,18.58
CpuBoundPi,SimpleStreamMapAsyncTest,10,10,10,236.10,231.00,244.00,4.25
CpuBoundPi,SimpleStreamAsyncTest,10,1,10,1032.60,1022.00,1037.00,4.30
CpuBoundPi,AkkaParallelTest,10,10,10,1026.80,1019.00,1041.00,6.61
CpuBoundPi,StreamFlatMapMergeTest,10,10,10,1025.60,1016.00,1035.00,5.91
CpuBoundPi,StreamFlatMapMergeAsyncTest,10,10,10,1017.30,1014.00,1026.00,3.97
