Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
HttpCall,NoConcurrency,10,1,10,7232.70,6975.00,7584.00,185.93
HttpCall,CompletionStageTest,10,-1,10,889.20,642.00,1405.00,269.95
HttpCall,CompletionStageWithExecutorServiceTest,10,10,10,969.10,702.00,1573.00,338.34
HttpCall,CompletionServiceTest,10,10,10,1303.30,698.00,1633.00,396.25
HttpCall,SimpleStreamTest,10,1,10,7207.30,6809.00,7900.00,330.22
HttpCall,SimpleStreamMapAsyncTest,10,10,10,973.10,680.00,1569.00,353.82
HttpCall,SimpleStreamAsyncTest,10,1,10,7294.30,6873.00,7669.00,254.47
HttpCall,StreamFlatMapMergeTest,10,10,10,5400.50,4970.00,6036.00,350.03
HttpCall,StreamFlatMapMergeAsyncTest,10,10,10,5462.80,5009.00,5797.00,300.12
HttpCall,StreamQueueTest,10,10,10,5488.30,4906.00,6040.00,397.94
HttpCall,StreamQueueAsyncTest,10,10,10,5499.90,4690.00,6406.00,533.13
