Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
HttpCallHttpClient,OneUnitOfWork,1,1,10,177.90,136.00,260.00,44.86
HttpCallHttpClient,NoConcurrency,10,1,10,1868.80,1786.00,1975.00,63.11
HttpCallHttpClient,CompletionStageTest,10,-1,10,1126.40,966.00,1311.00,104.51
HttpCallHttpClient,CompletionStageWithExecutorServiceTest,10,10,10,1094.20,989.00,1264.00,92.01
HttpCallHttpClient,CompletionServiceTest,10,10,10,1151.40,1045.00,1327.00,83.62
HttpCallHttpClient,SimpleStreamTest,10,1,10,1857.70,1687.00,2103.00,110.51
HttpCallHttpClient,SimpleStreamMapAsyncTest,10,10,10,1248.60,1148.00,1448.00,92.66
HttpCallHttpClient,SimpleStreamAsyncTest,10,1,10,1878.40,1641.00,2105.00,152.22
HttpCallHttpClient,AkkaParallelTest,10,10,10,1809.90,1744.00,1928.00,61.73
HttpCallHttpClient,StreamFlatMapMergeTest,10,10,10,1802.70,1675.00,1934.00,77.22
HttpCallHttpClient,StreamFlatMapMergeAsyncTest,10,10,10,1841.80,1705.00,2193.00,153.87
HttpCallHttpClient,StreamQueueTest,10,10,10,1788.30,1632.00,1909.00,95.89
HttpCallHttpClient,StreamQueueAsyncTest,10,10,10,1825.20,1591.00,2065.00,157.88
