Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
HttpCallOkHttpAsync,OneUnitOfWork,1,1,10,187.90,149.00,262.00,33.34
HttpCallOkHttpAsync,NoConcurrency,10,1,10,2064.50,1850.00,2399.00,151.77
HttpCallOkHttpAsync,CompletionStageTest,10,-1,10,946.60,852.00,1069.00,68.63
HttpCallOkHttpAsync,CompletionStageWithExecutorServiceTest,10,10,10,962.20,838.00,1230.00,103.95
HttpCallOkHttpAsync,CompletionServiceTest,10,10,10,924.80,868.00,988.00,35.50
HttpCallOkHttpAsync,SimpleStreamTest,10,1,10,1979.20,1762.00,2288.00,149.52
HttpCallOkHttpAsync,SimpleStreamMapAsyncTest,10,10,10,1004.20,853.00,1385.00,150.04
HttpCallOkHttpAsync,SimpleStreamAsyncTest,10,1,10,1936.20,1750.00,2080.00,100.98
HttpCallOkHttpAsync,AkkaParallelTest,10,10,10,1961.20,1839.00,2110.00,100.21
HttpCallOkHttpAsync,StreamFlatMapMergeTest,10,10,10,2025.90,1877.00,2127.00,85.30
HttpCallOkHttpAsync,StreamFlatMapMergeAsyncTest,10,10,10,2042.70,1933.00,2189.00,73.74
HttpCallOkHttpAsync,StreamQueueTest,10,10,10,1952.30,1627.00,2393.00,212.20
HttpCallOkHttpAsync,StreamQueueAsyncTest,10,10,10,2004.20,1880.00,2107.00,95.42
