Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
HttpCallOkHttpBlocking,OneUnitOfWork,1,1,10,191.40,148.00,263.00,33.93
HttpCallOkHttpBlocking,NoConcurrency,10,1,10,2011.80,1840.00,2171.00,103.22
HttpCallOkHttpBlocking,CompletionStageTest,10,-1,10,1537.50,866.00,1822.00,315.45
HttpCallOkHttpBlocking,CompletionStageWithExecutorServiceTest,10,10,10,1585.50,1048.00,1782.00,199.44
HttpCallOkHttpBlocking,CompletionServiceTest,10,10,10,1555.30,933.00,1680.00,220.57
HttpCallOkHttpBlocking,SimpleStreamTest,10,1,10,1971.30,1822.00,2163.00,113.32
HttpCallOkHttpBlocking,SimpleStreamMapAsyncTest,10,10,10,1654.50,1570.00,1756.00,54.56
HttpCallOkHttpBlocking,SimpleStreamAsyncTest,10,1,10,2001.90,1845.00,2270.00,120.62
HttpCallOkHttpBlocking,AkkaParallelTest,10,10,10,2010.70,1884.00,2115.00,85.84
HttpCallOkHttpBlocking,StreamFlatMapMergeTest,10,10,10,1966.20,1699.00,2046.00,103.83
HttpCallOkHttpBlocking,StreamFlatMapMergeAsyncTest,10,10,10,2010.20,1710.00,2324.00,149.95
HttpCallOkHttpBlocking,StreamQueueTest,10,10,10,2070.10,1816.00,2323.00,131.20
HttpCallOkHttpBlocking,StreamQueueAsyncTest,10,10,10,1956.20,1710.00,2246.00,187.21
