Work Unit,Test Name,Number Work Units,Expected Concurrency,Sample Size,mean[ms],min[ms],max[ms],stddev[ms]
Pi,NoConcurrency,10,1,10,1002.60,997.00,1008.00,3.27
Pi,CompletionStageTest,10,-1,10,221.50,212.00,227.00,5.17
Pi,CompletionStageWithExecutorServiceTest,10,10,10,225.00,218.00,232.00,4.50
Pi,CompletionServiceTest,10,10,10,229.00,225.00,233.00,2.58
Pi,SimpleStreamTest,10,1,10,1017.50,1003.00,1030.00,8.10
Pi,SimpleStreamMapAsyncTest,10,10,10,232.40,216.00,248.00,10.56
Pi,SimpleStreamAsyncTest,10,1,10,1008.50,1004.00,1034.00,9.03
Pi,StreamFlatMapMergeTest,10,10,10,1007.80,1006.00,1015.00,2.86
Pi,StreamFlatMapMergeAsyncTest,10,10,10,1006.00,1000.00,1011.00,3.50
Pi,StreamQueueTest,10,10,10,996.00,906.00,1010.00,31.70
Pi,StreamQueueAsyncTest,10,10,10,997.00,903.00,1106.00,70.58
